index,keyword,new_keyword,content,label
40,呸,口 丕,我们用口水淹死他，我先来，口 丕……,1
41,呸,口 丕,恶心死了，口 丕,0
42,呸,口 丕,这个老太婆不是人，坏心眼，口 丕,1
43,呸,口 丕,给这个妈，这个女巴婆，我口 丕口 丕口 丕一渣女,1
44,呸,口 丕,遇见这一号的丈母娘，真恶心，立马回家不给他家过了，不给他养老送终口 丕，把女婿当牛做马的使唤，没有一点爱心自私,0
45,呸,口 丕,没事，这种男人不要也罢！连一巴掌都忍不了？  追毛线，早点让他解脱不好么？马上离婚！  口 丕！,1
46,呸,口 丕,呵口 丕，我买钻石感觉脑子进💩了,0
47,呸,口 丕,死我都不做倒插门，口 丕，女人有钱别找男人，装什么呢！无伴终老都不干这事,1
48,呸,口 丕,口 丕啥玩意,0
49,呸,口 丕,滚，口 丕，什么玩意,1
50,呸,口 丕,"我只想说哥们儿，辛苦你了，保重
换我早TM掀桌子了，口 丕，这一家子没一好人",0
51,呸,口 丕,就像女人说：男人的嘴骗人的鬼，口 丕～垃圾,1
52,呸,口 丕,给人介绍对象，人家交往了，又想给人抢过来，口 丕,0
53,呸,口 丕,今年22想。。。和阿。。。口 丕。。。姐姐。。。呃呃。。。聊聊天,0
54,呸,口 丕,我嫁给你就是为了吃苦的？口 丕，渣女,1
55,呸,口 丕,呵口 丕大吉大利,0
56,呸,口 丕,嫁鸡随鸡嫁狗随狗！丈母娘丢老祖宗的脸，弃老祖宗用命换来的土地！口 丕！,1
57,呸,口 丕,这样的事逼急了，迟早会出人命的，这女人的口气，当小伙子欠了她的，理所应当使的，口 丕口 丕口 丕，女人迟早会招报应的？,1
58,呸,口 丕,快看口 丕,0
59,呸,口 丕,还有面，你自己看看自己的后代是什么面，我口 丕口 丕口 丕,1
60,呸,口 丕,口 丕，别回来了,0
61,呸,口 丕,抠门的要命。银的？口 丕 还地道个屁。,1
62,呸,口 丕,让你们上个门就受不了？那女人们嫁过去怎么就可以了？男人们原来也有矫情的时候？口 丕,1
63,呸,口 丕,妈的口 丕,0
64,呸,口 丕,那个网友担心了？没上去口 丕两口就已经很给面子了,1
65,呸,口 丕,娶外国人，好啊好啊，大兄弟有本事啊，嫁外国人，口 丕，她竟然不为中国男人守洁，肯定是图啥个啥，懂得都懂,1
66,呸,口 丕,还传统我口 丕，河南那个女孩就是个例子……,1
67,呸,口 丕,口 丕     恶心,0
68,呸,口 丕,女人也是这样想的，孩子不随母姓，咱就要高彩礼。女方父母也是这样想的，外孙过的好不好跟娘家有啥关系呀。还说什么二个家扶一个小，我口 丕,1
69,呸,口 丕,读书读傻了吧，你可是独生子女。口 丕,1
70,呸,口 丕,啊！口 丕……恶心,0
71,呸,口 丕,不值得心疼。口 丕,0
72,呸,口 丕,叛徒，，中国没男人了吗？口 丕口 丕,1
73,呸,口 丕,这个不像大户像下作口 丕,1
74,呸,口 丕,说的好像婚内就有精神和经济支持一样口 丕，晦气！,0
75,呸,口 丕,阿…口 丕 麻麻，缺个儿子嘛,0
76,呸,口 丕,是个女人肯定白人，黑人，黄皮口 丕。,1
77,呸,口 丕,口 丕  没用,0
78,呸,口 丕,60万就想买断我儿子，我口 丕,0
79,呸,口 丕,拿来炫耀吗？口 丕,0
80,呸,口 丕,恶心，口 丕,1
81,呸,口 丕,作者心目中白人至高无上呀我口 丕,1
82,呸,口 丕,抵制你们，口 丕！！！！,1
83,呸,口 丕,口 丕，走远点，鬼知道身上有什么病,1
84,呸,口 丕,软饭硬吃口 丕,0
85,呸,口 丕,我都划走了，又回来看他条件，身高170体重90kg，啊口 丕～,0
86,呸,口 丕,盒，口 丕,0
87,呸,口 丕,我招上门 口 丕 我上门,0
88,呸,口 丕,我口 丕不会说话就别说死封建,1
89,呸,口 丕,不劝了，恋爱脑口 丕！,0
90,呸,口 丕,这阿姨...口 丕，这宝贝儿真漂亮,1
91,呸,口 丕,凭什么叫老实男人填坑我口 丕,0
92,呸,口 丕,胡编乱造！口 丕！,0
93,呸,口 丕,软饭硬吃呗，还很骄傲又当又立口 丕,1
94,呸,口 丕,啧啧啧啧，口 丕,0
95,呸,口 丕,就给别人生了个孩子，你干嘛这样呢。。。我。。啊，，。口 丕口 丕口 丕,0
96,呸,口 丕,穷鬼女屌丝，还想找对象，哈口 丕……,1
97,呸,口 丕,什么玩意口 丕,0
98,呸,口 丕,现实：口 丕，恋爱狗都不谈！网络：疯狂磕cp，这属于什么,0
99,呸,口 丕,真恶心…口 丕,1
100,呸,口 丕,送我都嫌恶心、口 丕塑料袋,1
103,弱爆,弱火 暴,科目三弱火 暴了,0
104,你妈,亻 尔妈,嗯，你不就是亻 尔妈辛苦养大送到别人家给别人养老送终吗,1
105,你妈,亻 尔妈,哔哔哔什么呢？亻 尔妈彩礼没要吗？拿了彩礼孩子就该跟女方姓。,0
106,你妈,亻 尔妈,我一个男的都觉得没问题亻 尔妈收了人家女的彩礼那你就得受这气,0
107,你妈,亻 尔妈,亻 尔妈有精神病,1
108,你妈,亻 尔妈,亻 尔妈一个叛徒,1
109,你妈,亻 尔妈,看下东西，叫亻 尔妈偷完了，鞋子也偷了,1
110,你妈,亻 尔妈,我就喜欢这样有骨气的女人，美女亻 尔妈是生在福中不知福，有这么孝顺的女婿不晓得珍惜，美女为你老公出口气是对的你是明理的人，为你点赞,0
111,你妈,亻 尔妈,看看亻 尔妈在干嘛,0
112,你妈,亻 尔妈,亻 尔妈的烦死,0
113,你妈,亻 尔妈,我想看看亻 尔妈妈,0
114,你妈,亻 尔妈,我好奇亻 尔妈妈,1
115,你妈,亻 尔妈,亻 尔妈妈是很幸运的,0
116,你妈,亻 尔妈,还有吗？给亻 尔妈留一个,1
117,你妈,亻 尔妈,就没看到亻 尔妈,0
118,你妈,亻 尔妈,我想见亻 尔妈妈,1
119,你妈,亻 尔妈,亻 尔妈妈口味一定很重你外公外婆应该不知道怎么,1
120,你妈,亻 尔妈,这样的老婆不能要了他妈什么亻 尔妈就不是妈了,1
121,你妈,亻 尔妈,亻 尔妈是妈，他妈也是妈，人人都有妈，百善孝为先支持,0
122,你妈,亻 尔妈,是亻 尔妈不是他妈,1
123,你妈,亻 尔妈,说的很对！小杰太磨叽了！他妈妈和嫂子也事多死了，现在不存在上门不上门，反正都是要工作在外边！自己住，只是名意的怕什么呢！真是没钱还自大，空手套白狼！你以后守着亻 尔妈和嫂子过吧！,1
124,你妈,亻 尔妈,类女做的真对亻 尔妈眼中无人看不起你老公受到其视上门女胥以是人应该同等对待亻 尔妈真狠心这样的妈就应叫他自已去生活每月实当补助桌钱叫他自已生话玄支持美女贊,1
125,你妈,亻 尔妈,如果你的婆婆也像亻 尔妈对女婿。你会原谅吗,0
126,你妈,亻 尔妈,这个婆婆啊，和亻 尔妈妈是一路人,0
127,你妈,亻 尔妈,亻 尔妈妈这会儿已经哭晕在厕所了，去看看吧。,1
128,你妈,亻 尔妈,小颖，亻 尔妈妈做得好过份哦,1
129,你妈,亻 尔妈,亻 尔妈的我怎么在照镜子,1
130,你妈,亻 尔妈,把亻 尔妈吓一大跳,0
131,你妈,亻 尔妈,你对亻 尔妈，好吗，,1
132,你妈,亻 尔妈,柴火我拉8车，孩子跟你家姓，你问问亻 尔妈行不，不行我也能改,1
133,你妈,亻 尔妈,让亻 尔妈对小杰好点,0
134,你妈,亻 尔妈,啥时候跟亻 尔妈妈也说阿姨我不想努力了哈哈哈,1
135,你妈,亻 尔妈,你带一个那么大的儿子，亻 尔妈还那样，真的不知道你家哪来的自信，建议放过小杰。男人的青春浪费不起,1
136,你妈,亻 尔妈,小颖带阿斌和亻 尔妈分家住吗，小颖你娘大坏了开口就是上门老，阿斌个性好是好，要是个性不的早回老家了。,1
137,你妈,亻 尔妈,亻 尔妈再胡来你可能和小杰拜拜,1
138,你妈,亻 尔妈,亻 尔妈真的很爱你，你没心没肺妈妈苦苦承受不舍得那种,0
139,你妈,亻 尔妈,亻 尔妈妈是富贵眼睛,1
140,你妈,亻 尔妈,亻 尔妈那不是幼稚，那是一颗爱孩子的父母心，你是自私的追求自己的爱情不后悔，可父母从此见你的日子屈指可数，你爸妈白养你这个孩子了，自私至极,0
141,你妈,亻 尔妈,以后买一辆给亻 尔妈去买菜,0
142,你妈,亻 尔妈,"爸爸说的话～对一半，也错一半
亻 尔妈妈守住一个中国人持家的根本～俭以养德",0
143,你妈,亻 尔妈,嗲哒桌子一轩，克亻 尔妈妈男女男   别,1
144,你妈,亻 尔妈,亻 尔妈听到看到很好解决,1
145,你妈,亻 尔妈,亻 尔妈教你的,1
146,你妈,亻 尔妈,这丈母娘可以退货了以前经常看你们的作品，现在看都烦，亻 尔妈就是一个坦白痞子。,1
147,你妈,亻 尔妈,幼稚？？？？？你是咋想到这个词的，妈妈不是因为舍不得你嘛，亻 尔妈听见肯定寒心死了,0
148,你妈,亻 尔妈,亻 尔妈你爸很无奈,1
149,你妈,亻 尔妈,现在不是你逞能的时候，也不是你小的时候，如果你一意孤行，世界上没有买后悔药，你是自己自找的，怪不得别人，听亻 尔妈，你哥你嫂子，你永远和倩倩成不了一家人。说明你是个永远长不大的小孩子，不配拥有婚姻,1
150,你妈,亻 尔妈,"那是亻 尔妈自己生不出儿子，所以把恨
都恨在你老公身上了",1
151,你妈,亻 尔妈,美女听你这一说亻 尔妈想钱,1
152,你妈,亻 尔妈,你爸亻 尔妈喜不喜欢不要紧，只有你喜欢就行了你口味独特,0
153,你妈,亻 尔妈,你问问小杰挣了多少彩礼了？不行，让亻 尔妈跟他少要点儿彩礼不就得了,0
154,你妈,亻 尔妈,问问亻 尔妈，还要儿子不？,1
155,你妈,亻 尔妈,强子，亻 尔妈太偏心了，我还是喜欢看你对小雪好的片子,0
156,你妈,亻 尔妈,小杰，你就不应该有媳妇，一个人自由，想干嘛干嘛，也不用上门，，你太自私，从没替倩倩想，只为你和你家人想了，没看看自己什么条件，还挑三拣四的，有倩倩这么好的条件你还这样就是比倩倩条件差你也应该知足，别老想着空手掏白狼错过倩倩你有可能找不到媳妇，听亻 尔妈你的家人你只能害了你自己，你也别影响人家倩倩了，赶快分手，这样你要把人家倩倩毁了呀，别老想自己，替人家倩倩想想吧，到太自私了,0
157,你妈,亻 尔妈,你是不后悔，亻 尔妈后悔呀，哪个父母年龄大了都希望自由的孩子留在身边，何况你是嫁国外,1
158,你妈,亻 尔妈,相信亻 尔妈妈千万个妈妈中的一个正常妈妈的反应 你男朋友妈妈真的是1千w万个妈妈中才能遇到一个的妈妈.理解她 相信如果换做是我 我儿子去做这些 我都会接受不了,0
159,你妈,亻 尔妈,亻 尔妈有手有脚自己干嘛不动,1
160,你妈,亻 尔妈,叫亻 尔妈也改嫁过去吧！,1
161,你妈,亻 尔妈,亻 尔妈说儿子妈眼不好使我怎么光看见你呢,1
162,你妈,亻 尔妈,跟亻 尔妈长腻好像,1
163,你妈,亻 尔妈,小颖，亻 尔妈又在做什么，白罗布都舍不得唉，太过份了,0
164,你妈,亻 尔妈,当时亻 尔妈妈不和你说一个月的话,1
165,你妈,亻 尔妈,没良心了 你爹亻 尔妈 不要养他俩 你跟你老公回你老公家 这就对了 带着孩子一家去 这才对,1
166,你妈,亻 尔妈,亻 尔妈妈太务实啦，美女做的对,0
167,你妈,亻 尔妈,美女，亻 尔妈这样对你，你不要管他喽,0
168,你妈,亻 尔妈,往好处想，最起码亻 尔妈不用起早贪黑伺候你了,1
169,你妈,亻 尔妈, 静脉血亻 尔妈来了,1
170,你妈,亻 尔妈,放开小贤吧，让他跟那个女人结婚吧，亻 尔妈妈不同意,0
171,你妈,亻 尔妈,小颖做得对，把亻 尔妈赶走，这样你在心痛他，亻 尔妈太坏了，让他走你妹妹那里去。等到你也不幸福啊,0
172,你妈,亻 尔妈,你家有你哥呢，你有啥放不下心的，就是上了门还不照样管亻 尔妈吗,0
173,你妈,亻 尔妈,同性才是真爱爱亻 尔妈,1
174,你妈,亻 尔妈,你爸亻 尔妈不好回答？因为看不见她！,1
175,你妈,亻 尔妈,我要亻 尔妈,1
176,你妈,亻 尔妈,宝贝，是亻 尔妈妈做得她们太过了，爸爸也是个男子汉啊。,0
177,你妈,亻 尔妈,亻 尔妈已经气晕了,1
178,你妈,亻 尔妈,这女的是亻 尔妈？还是你媳妇，还是你妹妹？都不是你就是随便一张照片造黄谣呗,1
179,你妈,亻 尔妈,急啥呢？很多还不如呢，有的六万八万要全家命，甚至更低，见过一万一彩礼陪嫁给三十万的，男的还指挥女的，态度很差，房车都是婚前财产，老人没义务带孩子不假，坐月子还说让亻 尔妈来我妈为啥伺候？,0
180,你妈,亻 尔妈,         亻 尔妈 小黑框是同吗,1
181,你妈,亻 尔妈,亻 尔妈的一点骨气都没有，给老人几块钱还偷偷摸摸的，这样你对得起谁,1
182,你妈,亻 尔妈,别回来，真的给亻 尔妈省钱了,1
183,你妈,亻 尔妈,妹子亻 尔妈活该背时,1
184,你妈,亻 尔妈,好着呢！带回家和亻 尔妈共赏。因为你很优秀！,0
185,你妈,亻 尔妈,就这房子上亻 尔妈哪门子的门啊图个鸡毛啊,1
186,你妈,亻 尔妈,强子亻 尔妈太坏了。,1
187,你妈,亻 尔妈,亻 尔妈那么年轻啊,0
188,你妈,亻 尔妈,你选择爱情没有错，我替亻 尔妈妈说几句话，你不孝，俗我直言，把你养大，你屁股一拍，你走人，为了这所为的爱情，俗我直言，你太自私了,0
189,你妈,亻 尔妈,亻 尔妈那不是幼稚，那是一颗爱孩子的父母心，你是自私的追求自己的爱情不后悔，可父母从此见你的日子屈指可数，你爸妈白养你这个孩子了,0
190,你妈,亻 尔妈,亻 尔妈看不起上门女婿为啥自己不生个儿呢？,1
191,你妈,亻 尔妈,你老妈真的坏，不要相信你家妈，亻 尔妈两边派,1
192,你妈,亻 尔妈,亻 尔妈打死你,1
193,你妈,亻 尔妈,我妈给我打电话我儿子接的，她对我儿子说，不要惹亻 尔妈妈生气，你是外婆的宝贝，亻 尔妈妈也是。,0
194,你妈,亻 尔妈,你这是有心理阴影了吧 看样子你爹跟亻 尔妈家姓以后 过的不太顺啊,1
195,你妈,亻 尔妈,亻 尔妈妈可真不容易,0
196,你妈,亻 尔妈,囗，口个上门老，老太婆你值得，叫亻 尔妈，讨厌老太婆，信好老婆好，为老婆点赞,1
197,你妈,亻 尔妈,亻 尔妈看了哭😭了，你爸看了疯了,1
198,你妈,亻 尔妈,能把亻 尔妈给吓晕,1
199,你妈,亻 尔妈,他那两百给亻 尔妈了？不孝女给亻 尔妈了你也问,1
200,你妈,亻 尔妈,"评论区:我不要彩礼
现实:没有钱娶亻 尔妈吧",1
201,你妈,亻 尔妈,估计你爸亻 尔妈正在吐血，不要在说了,1
202,你妈,亻 尔妈,亻 尔妈妈对你取得媳妇能接受吗,0
203,你妈,亻 尔妈,亻 尔妈会和你断绝关系,1
204,你妈,亻 尔妈,上门女婿跟委屈的亻 尔妈似的，一个女人呢？,1
205,你妈,亻 尔妈,你爸，亻 尔妈看了就想哭，,1
206,你妈,亻 尔妈,动不动就听亻 尔妈的，别拿离婚去威胁小杰，人家不就穷点吗？你也不看看自己啥条件，带个孩子还是男孩，还要上门，还要把将来生的小孩也姓你家的姓，换位思考一下！我也关注你们好久了，刚开始挺看好你们的，觉得你是真的喜欢小杰，可你现在去拿离婚威胁小杰，离吧，我相信你再也找不到像小杰这么好的男孩了，不信你就试试！,0
207,你妈,亻 尔妈,这个老太婆太坏了，你这个女儿赶紧离开亻 尔妈这个地方，跟你老公一起去生活就好了，亻 尔妈妈天天在那里搞三搞四的,1
208,你妈,亻 尔妈,:) 亻 尔妈 我之前一直想他要是图我钱就好了 我借钱都会给他转,1
209,你妈,亻 尔妈,我：你看亻 尔妈！！！,1
210,你妈,亻 尔妈,亻 尔妈好坏的,1
211,你妈,亻 尔妈,去非洲找真好看呀，媳妇儿领回来了。亻 尔妈高兴死了吧,0
212,你妈,亻 尔妈,厉害自己妈妈的话不听，亻 尔妈妈有多伤心,0
213,你妈,亻 尔妈,搞不懂，人家有钱就一定要说是因为找了老头，人家找不找是人家的私事，人家又不做亻 尔妈你这么关心人家嫁了谁干嘛我是真的不理解，人家人品可以没绯闻德行可以不就行了吗，要你们操这么多心看的人无语死,0
214,你妈,亻 尔妈,如果这个女人是亻 尔妈，阁下又如何应对？！,1
215,你妈,亻 尔妈,回来亻 尔妈打死你,1
216,你妈,亻 尔妈,你不能去她要把亻 尔妈买的东西都给她姑娘了？,0
217,你妈,亻 尔妈,亻 尔妈心想好不容易生个男孩，给你整个女孩,1
218,你妈,亻 尔妈,像亻 尔妈个250，拉黑。,1
219,你妈,亻 尔妈,艳芳快发给亻 尔妈看,1
220,你妈,亻 尔妈,自己单独过吗，等亻 尔妈老了再说嘛,0
221,你妈,亻 尔妈,不上门是因为亻 尔妈太凶了，小杰嫁人也不给彩礼什么道理,1
222,你妈,亻 尔妈,你俩没什么，亻 尔妈为什么会这么问你呢你俩肯定有事,0
223,你妈,亻 尔妈,那介绍亻 尔妈来,1
224,你妈,亻 尔妈,亻 尔妈能乐死,1
225,你妈,亻 尔妈,: 小颖，亻 尔妈妈也太过分，什么事情都要管着你们两个，那男孩来你家上门对他好一点,0
226,你妈,亻 尔妈,亻 尔妈妈真为你高兴，买了，别墅找了美女，,0
227,你妈,亻 尔妈, 亻 尔妈能搂我睡觉吗,1
228,你妈,亻 尔妈,亻 尔妈认为就你这样还想找啥样的,1
229,你妈,亻 尔妈,亻 尔妈妈应该会很开心吧,0
230,你妈,亻 尔妈,你到这非州地方不好，叫亻 尔妈、你爸一看会气死,1
231,你妈,亻 尔妈,叫亻 尔妈再生个儿子吧！,1
232,你妈,亻 尔妈,那偷阿斌的钱可以送他的女儿亻 尔妈偷你们两个的钱我们在手机上看见了他当小偷了都好几万了。,1
233,你妈,亻 尔妈,小颖，亻 尔妈简直是疯老婆子。,1
234,你妈,亻 尔妈,亻 尔妈收了女方家二十万。还有啥脸姓你姓。,1
235,你妈,亻 尔妈,美女亻 尔妈真的不是好人,1
236,你妈,亻 尔妈,各位看官回去问问你爸爸，亻 尔妈妈年轻的时候有多漂亮，珍惜眼前人就好,0
237,你妈,亻 尔妈,活该活该，没一点男人，是老子管亻 尔妈三七二一……你试试,1
238,你妈,亻 尔妈,丈母娘不是个东西，当什么上门女婿受气让亻 尔妈看见多心疼，回家找妈去，,1
239,你妈,亻 尔妈,那亻 尔妈不会说亻 尔妈也会说的呀又又不是八岁的人呢做不动了，我不少了，这么晚了还不吃饭,1
240,你妈,亻 尔妈,你爸亻 尔妈是咋回事,1
241,你妈,亻 尔妈,给亻 尔妈也找一个,1
242,你妈,亻 尔妈,你居然认为母亲想要挽留你的方式是幼稚哄骗方式，难怪亻 尔妈妈后面不理你，亻 尔妈妈只是想要把所有能给你的都给你，只是不想你嫁那么远，你也是她的心头肉啊，不懂妈妈的心，所以你嫁那么远,0
243,你妈,亻 尔妈,对离开亻 尔妈妈让你妹来养他们吧,1
244,你妈,亻 尔妈,亻 尔妈幼稚？你是很成熟,1
245,你妈,亻 尔妈,不懂就问，如果是你姐或者亻 尔妈完成你的心愿，难道你也和你姐和亻 尔妈领证去？？,1
246,你妈,亻 尔妈,爱情本无错，但是亻 尔妈妈不同意，你还是要嫁，怎么说呢。。。你很自私！怀胎十月生下你，你可以让你母亲流泪伤心，但是你自己必须要开心！,0
247,你妈,亻 尔妈,真爱亻 尔妈！那是钞能力,1
248,你妈,亻 尔妈,难怪亻 尔妈妈不接受真的好难看,1
249,你妈,亻 尔妈,亻 尔妈嫁你家里受苦了没有？,1
250,你妈,亻 尔妈,阿姨亻 尔妈,1
251,你妈,亻 尔妈,倒插门就没可能，问一下亻 尔妈黄埔的可以吗？,1
252,你妈,亻 尔妈,小颖亻 尔妈看不起阿就，，天天上门佬上门佬的叫，你就说亻 尔妈，如果总是这样看不走阿斌，你就跟阿斌回公婆家，她就不敢了,1
253,你妈,亻 尔妈,亻 尔妈都不管你了，我更不想管，别再让我刷到你,1
254,你妈,亻 尔妈,自己做了母亲很能理解亻 尔妈妈的做法，那不是幼稚，那是爱和不舍，你自己也是做母亲的,0
255,你妈,亻 尔妈,和亻 尔妈断了关系吧,1
256,你妈,亻 尔妈,"亻 尔妈能说人话吗？
什么叫非二元性别？？
我能不能理解为，男女通吃？",1
257,你妈,亻 尔妈,小姑娘怎么自己做头发呀，亻 尔妈妈呢,0
258,你妈,亻 尔妈,亻 尔妈对你老公的时候，你咋不说亻 尔妈呢？,1
259,你妈,亻 尔妈, 亻 尔妈的她到底为什么觉得我喜欢她,1
260,你妈,亻 尔妈,我有一个女儿，我告诉她，如果远嫁，你的嫁妆只有亻 尔妈,0
261,你妈,亻 尔妈,就亻 尔妈这种态度，你迟早还不会过好，你爸爸是个明事理的人，还是多听听爸爸的话，少听妈妈的话吧！不然你结个婚都难，亻 尔妈认为不好的，别人不一定这样认为，观点不同，取向不同,1
262,你妈,亻 尔妈,这亻 尔妈是里外间，,1
263,你妈,亻 尔妈,亻 尔妈没把你教好，社会对你太宽容,1
264,你妈,亻 尔妈,你这话说出去，连亻 尔妈都不信,1
265,你妈,亻 尔妈,亻 尔妈太坏了，你老公不去她要喊他去。,1
266,你妈,亻 尔妈,亻 尔妈的生直接走亻 尔妈家去不行吗？还拿回家干嘛，你婆婆又要把东西拿给她女，,1
267,你妈,亻 尔妈,哪有什么阿姨？可爱的小妹妹，你怎么用亻 尔妈妈的手机拍视频呀,0
268,你妈,亻 尔妈,上门女婿咋啦，给妈一两千元不犯法，当儿媳的短欠呢，亻 尔妈是妈，男人的妈就不是妈，打你你还不知怎欠揍呢,1
269,你妈,亻 尔妈,放在煤堆里找不到那个是煤那个是人，都是假的，带回老家亻 尔妈让你气死,1
270,你妈,亻 尔妈,2岁穿亻 尔妈高跟鞋，你是真敢说,0
271,你妈,亻 尔妈,小杰靠你打挣钱买房，买车，你自己一年了连八万八彩礼都没有挣够，你自己清楚，上门女婿不丢人，你有钱了你，才能孝敬你母亲，你奶奶，你没有钱拿什么孝敬人，你为了亻 尔妈妈减轻负担，上门女婿不丢人，,0
272,你妈,亻 尔妈,小颖亻 尔妈妈太坏了，把你给婆婆买的鞋给换了。,0
273,你妈,亻 尔妈,这个婆婆太恶毒了。是小雪家外家拿来的东西。还有这个姑娘，强子。把亻 尔妈赶出去和你妹儿做。心太坏了。,1
274,你妈,亻 尔妈,亻 尔妈妈这么年轻,0
275,你妈,亻 尔妈,  真就亻 尔妈找不到,1
276,你妈,亻 尔妈,无奸不商，又奸又无情，要害自己的亲生女儿，还觉得理所当然给她迫害，亻 尔妈生你下来，就是要你做仆人的吗？做仆人不如弄死她,1
277,你妈,亻 尔妈,亻 尔妈妈骗你的,1
278,你妈,亻 尔妈,还是亻 尔妈妈说得对👍中国🇨🇳男人👨那么多非要嫁给外国人往后受罪两个字！活该活该这就是不听老人言，吃苦在䀶前。,1
279,你妈,亻 尔妈,你不知道说，亻 尔妈没用连个儿子都生不出来,1
280,你妈,亻 尔妈,真为亻 尔妈悲哀,1
281,你妈,亻 尔妈,这女孩子怕吃苦，那你就在亻 尔妈你爸家待着吧让你爸妈养你着吧,0
282,你妈,亻 尔妈,看见亻 尔妈就不想看,1
283,你妈,亻 尔妈,美女你和老公白头偕老一口齐心亻 尔妈太不对了支持你做的对,1
284,你妈,亻 尔妈,小颖，亻 尔妈太坏了。,1
285,你妈,亻 尔妈,亻 尔妈好聪明,0
286,你妈,亻 尔妈,下辈子就有闺女，再也不能给你，你瞅你里边的东西吧，全让亻 尔妈给换了，里边全装的砖头，你还给亻 尔妈拿给亻 尔妈拿到那生气去,1
287,你妈,亻 尔妈,亻 尔妈年纪也大了有三十一二岁了,0
288,你妈,亻 尔妈,"女：这就是爱情，
男：爱亻 尔妈卖麻花儿的情",1
289,你妈,亻 尔妈,强子把亻 尔妈杆启走等他自已一人过,1
290,你妈,亻 尔妈,你做得对亻 尔妈妈头有点问题,1
291,你妈,亻 尔妈,估计你爸亻 尔妈，是直接晕过去了,1
292,你妈,亻 尔妈,你给亻 尔妈整个,1
293,你妈,亻 尔妈,"你这婚礼在现在这些畸形的婚姻观真的上头。婚礼就应该这样送上祝福。
你的妈妈不是幼稚，是你到现在还没有长大。她有可能很后悔把你送出国，亻 尔妈妈只是希望你嫁近一点有事没事多往家跑。你应该感谢你爸爸开导亻 尔妈妈，要不然到现在都有可能不理你，女人轴起来自己想不通的。亻 尔妈妈把对你的爱转移到你的孩子上面了。能回国就回国吧你也会发展的很好。你在国外的话在你父母的余生里平均下来一年见面不会超过两次。父母在哪里家就在哪里，你是你孩子的家。你父母是你的家！别等家没了你想回家了。常回家看看挺好的！",0
